kraj_code,kraj,obvod_code,obvod,okres_code,okres,town_code,town,last_year_votes,total_count_okrsok,votes,count_okrsok,counted_percentage,counted_percentage_of_votes
1,Bratislavský kraj,102,Malacky,106,Malacky,504858,Sološnica,933,1,905.3157117909944,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,917,1,773.8032869328943,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,504947,Veľké Leváre,1881,3,1789.6718423819527,3,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,504980,Závod,1480,2,1541.1599038361906,2,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,526,1,520.4721005273526,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,1458,2,1343.5405136167396,2,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,828,1,860.5996571853228,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,914,1,801.2645975697627,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508012,Kostolište,955,1,869.3998339799093,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,992,1,1027.7276188623036,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,1147,1,1332.386682386791,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,1720,2,1724.8512167483177,2,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,10095,12,10291.730710730204,12,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,1351,2,1450.5448013618939,2,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508161,Pernek,495,1,566.1755242538975,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,1214,2,1259.975265643203,2,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,7059,8,7073.896380648325,8,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508241,Suchohrad,373,1,357.08923018363936,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,1152,2,1119.2935342730857,2,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,795,1,885.6682215295492,1,1.0,1.0
1,Bratislavský kraj,102,Malacky,106,Malacky,508381,Zohor,1952,3,2022.398998962937,3,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507806,Báhoň,1067,1,1204.0546857237466,1,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507849,Budmerice,1468,2,1484.3732456335965,2,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507857,Častá,1418,2,1349.0771604462282,2,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,721,1,803.5532985558242,1,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507881,Dubová,742,1,631.9964249102261,1,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507946,Jablonec,578,1,579.9272834494648,1,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507989,Svätý Jur,3534,5,3653.681006956539,5,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508047,Limbach,1367,2,1442.630643302176,2,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508101,Modra,5583,7,5536.517433701199,7,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,14722,18,14907.116992756824,18,1.0,0.9999999999999998
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508187,Píla,235,1,277.35620727433485,1,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508225,Slovenský Grob,2827,3,3247.9707028188386,3,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508250,Šenkvice,3139,4,3344.4650147563334,4,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508268,Štefanová,228,1,219.25952067013014,1,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508306,Viničné,1602,2,1720.1176406616933,2,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508314,Vinosady,887,1,1011.379156708458,1,1.0,1.0
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508322,Vištuk,818,1,743.0060953673993,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,503681,Boldog,302,1,259.9795004682873,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,503797,Hrubá Borša,735,1,639.2762542104713,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,503801,Hrubý Šúr,603,1,713.0430989645319,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,503819,Hurbanova Ves,280,1,232.91017036422699,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,503851,Kostolná pri Dunaji,449,1,463.1566603517138,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,503894,Kráľová pri Senci,1188,2,1346.523611990159,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,503983,Reca,924,1,1015.0466909110999,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,507814,Bernolákovo,4947,6,5149.291957844096,6,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,507822,Blatné,1006,1,1160.328750715894,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,507865,Čataj,742,1,758.796020687612,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,507903,Hamuliakovo,1526,2,1561.6789314304344,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,507911,Chorvátsky Grob,3881,4,3661.7541755679445,4,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,507938,Ivanka pri Dunaji,4110,4,3924.280922916893,4,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,507997,Kalinkovo,903,1,828.6839842829496,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508071,Malinovo,2232,2,2005.6184659885466,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508098,Miloslavov,2160,3,2113.0144044186513,3,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508110,Most pri Bratislave,2213,2,2103.2027160188118,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508136,Nová Dedinka,1752,2,1902.9646085629313,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508209,Rovinka,2800,3,2694.5846529074292,3,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508217,Senec,10878,16,10682.887656876732,16,1.0,1.0000000000000002
1,Bratislavský kraj,104,Senec,108,Senec,508276,Tomášov,1624,2,1810.7633618382858,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508284,Tureň,718,1,677.4451922985842,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508292,Veľký Biel,1648,2,1555.8530861645977,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,508331,Vlky,285,1,321.8056742250361,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,545333,Dunajská Lužná,4219,5,3966.653935426856,5,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,555487,Igram,351,1,390.2015508038712,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,555495,Kaplna,545,1,500.91017792325385,1,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,555509,Zálesie,1320,2,1530.4563183370226,2,1.0,1.0
1,Bratislavský kraj,104,Senec,108,Senec,582549,Nový Svet,65,1,72.21331533564178,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501433,Dunajská Streda,11006,18,11204.488551035598,18,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501441,Báč,356,1,405.27605036604064,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501450,Baka,651,1,625.4499208680644,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501468,Baloň,385,1,348.9286821641374,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501484,Blahová,228,1,262.5460668883822,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501492,Blatná na Ostrove,547,1,452.53517611404027,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501506,Boheľov,178,1,156.35205424403583,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501514,Čakany,390,1,362.43921995992315,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501522,Veľký Meder,3313,8,3209.1177521703344,8,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501531,Čiližská Radvaň,486,1,514.8674489251847,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501549,Dobrohošť,315,1,304.2737896024548,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501557,Dolný Bar,428,1,504.53576686167344,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501573,Gabčíkovo,2646,4,2669.599103491857,4,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501581,Holice,1170,2,1160.3150687057168,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501590,Horná Potôň,1090,3,1128.6987732022221,3,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501603,Horný Bar,771,2,732.2476396582294,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501611,Dolný Štál,875,2,726.9764233918895,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501620,Hubice,390,1,385.0214756998556,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501638,Hviezdoslavov,1369,2,1326.9971817606352,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501654,Jahodná,775,1,924.9166926590846,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501662,Janíky,605,2,604.3717136081964,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501671,Jurová,269,1,286.8837649521901,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501689,Kľúčovec,195,1,176.20248107594176,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501697,Kostolné Kračany,761,1,904.8625853772892,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501701,Kráľovičove Kračany,538,1,487.86158578058183,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501719,Kútniky,763,2,823.4136065857462,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501727,Kvetoslavov,1042,2,1088.191770474517,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501735,Lehnice,1472,2,1337.861165053663,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501743,Lúč na Ostrove,427,2,369.5441734825866,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501760,Medveďov,266,1,301.5303827886532,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501778,Mierovo,258,1,248.71997951208775,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501786,Michal na Ostrove,452,1,526.747829250325,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501808,Nový Život,1199,3,1323.9145911162022,3,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501816,Ohrady,700,1,786.1341157715208,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501824,Okoč,1700,3,1488.2802748434885,3,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501832,Oľdza,330,1,274.2766168805523,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501859,Orechová Potôň,874,2,738.8589123083909,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501867,Padáň,426,1,474.75563194488797,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501875,Sap,267,1,285.6758776781173,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501883,Pataš,330,1,368.6136483459237,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501891,Rohovce,622,1,508.0744934190619,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501905,Šamorín,7408,9,7668.78297540679,9,1.0,0.9999999999999999
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501913,Štvrtok na Ostrove,994,1,1074.01468731966,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501921,Topoľníky,1471,3,1407.8657850298998,3,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501930,Ňárad,383,1,437.6031426508039,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501956,Trnávka,274,1,322.1291848251523,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501964,Trstená na Ostrove,356,1,317.26662955136885,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501972,Veľká Paka,561,1,450.3433324985923,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501981,Veľké Blahovo,704,1,800.3340522487889,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501999,Vojka nad Dunajom,328,1,337.90699097141015,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502006,Vrakúň,1414,2,1486.393285113859,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502014,Vydrany,916,1,785.5386624985034,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,502022,Zlaté Klasy,1492,2,1476.572663303618,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,503461,Bodíky,250,1,226.17544025021772,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555517,Bellova Ves,190,1,211.14555718179034,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555541,Dunajský Klátov,340,1,365.75974930390936,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555568,Horné Mýto,467,1,382.68877496054597,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555576,Trhová Hradská,1058,2,1008.1293346031267,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555606,Macov,271,1,246.39078320096948,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555649,Mad,288,1,320.4172811332168,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555665,Malé Dvorníky,678,1,730.1794710433417,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555673,Veľké Dvorníky,614,1,540.6915688551161,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555720,Povoda,475,1,400.71910804455484,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555746,Vieska,260,1,229.8519223300244,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580554,Čenkovce,646,2,689.2231702506092,2,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580597,Kyselica,120,1,106.04167732778583,1,1.0,1.0
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,582522,Potônske Lúky,141,1,117.03808010473232,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503665,Galanta,8221,18,8787.962887349504,18,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503673,Abrahám,655,1,680.7283053453591,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503690,Čierna Voda,867,1,981.8841296362551,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503703,Čierny Brod,819,1,920.3722813319982,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503746,Dolné Saliby,1101,2,1145.0932565232877,2,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503754,Dolný Chotár,124,1,133.74644431387134,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503762,Gáň,491,1,474.63260985117654,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503771,Horné Saliby,1728,2,1559.4750630993992,2,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503789,Hoste,293,1,291.8118947798539,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503827,Jánovce,311,1,367.79389299509177,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503835,Jelka,1945,3,2243.1010240596297,3,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503843,Kajal,726,1,597.1388046564549,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503860,Košúty,902,1,772.0611855136061,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503878,Kráľov Brod,573,1,540.9054052065723,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503924,Mostová,835,1,856.8755493847135,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503959,Pata,1747,2,1623.2270484667083,2,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503967,Pusté Sady,334,1,270.665186813743,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,503975,Pusté Úľany,974,1,1055.746634593559,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504009,Sereď,8542,13,8369.813519471874,13,1.0,0.9999999999999998
2,Trnavský kraj,202,Galanta,202,Galanta,504017,Sládkovičovo,2667,5,2543.7200855551046,5,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504033,Šalgočka,248,1,212.1149578778177,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504041,Šintava,1067,1,1207.8885288070114,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504050,Šoporňa,2106,3,2012.4805718382572,3,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504076,Tomášikovo,721,1,582.2257917721142,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504084,Topoľnica,462,1,496.78586309663433,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504106,Trstice,2110,3,1878.8569485717692,3,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504114,Váhovce,1138,2,1176.060059390466,2,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504122,Veľká Mača,1316,2,1318.8439687386117,2,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504131,Veľké Úľany,2545,4,2495.9637660536246,4,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504149,Veľký Grob,768,1,869.1881025127393,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504157,Vinohrady nad Váhom,902,1,840.4122233565806,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504173,Vozokany,630,1,709.0928378901929,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,504181,Zemianske Sady,436,1,494.4333927496124,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,555754,Matúškovo,1363,2,1418.5480480708577,2,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,555789,Dolná Streda,924,1,1102.8284659825133,1,1.0,1.0
2,Trnavský kraj,202,Galanta,202,Galanta,582638,Malá Mača,311,1,320.42537282787674,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,506834,Borovce,612,1,596.1074463407531,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,506982,Dolný Lopašov,521,1,441.75160961509636,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,506991,Drahovce,1424,2,1509.6858200107945,2,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507008,Dubovany,569,1,615.7839780518725,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507121,Chtelnica,1597,2,1868.4730100110226,2,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507199,Kočín - Lančár,314,2,304.60270630416795,2,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507229,Krakovany,834,1,732.6083401452721,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507342,Moravany nad Váhom,1362,2,1365.7338673657578,2,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507369,Nižná,320,1,276.5337027921603,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507385,Ostrov,735,1,870.1272255574422,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507431,Pečeňady,347,1,313.88805926478784,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507440,Piešťany,16355,28,16047.948980265952,28,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507466,Prašník,453,1,459.4948581459986,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507482,Rakovice,346,1,314.7897178576688,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507491,Ratnovce,575,1,618.1254992929506,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507563,Sokolovce,720,1,835.3154778283014,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507679,Trebatice,784,1,824.3765873749309,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507709,Veľké Kostoľany,1514,2,1785.8484071444443,2,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507725,Veselé,656,1,579.5566401827991,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,507750,Vrbové,3305,4,3191.1928966402793,4,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,556548,Šterusy,262,1,285.47129970653896,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,556572,Veľké Orvište,582,1,584.7108927355739,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,556581,Hubina,297,1,328.05199863741757,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,558338,Ducové,252,1,257.43396753018936,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,558354,Bašovce,201,1,164.13360990865863,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,558397,Šípkové,179,1,154.57860473387302,1,1.0,1.0
2,Trnavský kraj,203,Piešťany,204,Piešťany,581399,Banka,1272,2,1133.9139034593582,2,1.0,1.0
2,Trnavský kraj,204,Senica,205,Senica,504203,Senica,10470,17,10478.899127126906,17,1.0,1.0
2,Trnavský kraj,204,Senica,205,Senica,504211,Bílkove Humence,143,1,124.0174842202396,1,1.0,1.0
2,Trnavský kraj,204,Senica,205,Senica,504220,Borský Svätý Jur,806,1,850.2714158938535,1,1.0,1.0
2,Trnavský kraj,204,Senica,205,Senica,504238,Borský Mikuláš,2006,3,1982.2097991670191,3,1.0,1.0
2,Trnavský kraj,204,Senica,205,Senica,504297,Cerová,666,1,652.3875838007996,1,1.0,1.0
2,Trnavský kraj,204,Senica,205,Senica,504319,Čáry,570,1,678.7386809364034,1,1.0,1.0
